№,id,Link ru,Link uz - lotincha,,Xizmat nomi - ru,Xizmat nomi - uz,Muxlisa text - RU,Muxlisa text - UZ
18,848,https://my3.gov.uz/ru/service/848,https://my3.gov.uz/uz/service/848,https://my3.gov.uz/y3/service/848,Представление ордера и свидетельств государственного образца о приватизации объектов недвижимости и государственных акций,Кўчмас мулк объектлари ва давлат улушлари хусусийлаштирилганлиги тўғрисидаги давлат намунасидаги ордер ва сертификатларни тақдим этиш,Физические и юридические лица могут воспользоваться данной услугой для представления ордера и свидетельств государственного образца о приватизации объектов недвижимости и государственных акций. Заявки рассматриваются Агентством по управлению государственными активами Республики Узбекистан в течение пяти рабочих дней.,Jismoniy va yuridik shaxslar ko‘chmas mulk obyektlari va davlat ulushlari xususiylashtirilganligi to‘g‘risidagi davlat namunasidagi order va guvohnomalarni olishda foydalanishlari mumkin. Arizalar O‘zbekiston Respublikasi Davlat aktivlarini boshqarish agentligi tomonidan 5 ish kuni mobaynida ko‘rib chiqiladi.
19,847,https://my3.gov.uz/ru/service/847,https://my3.gov.uz/uz/service/847,https://my3.gov.uz/y3/service/847,"Подача заявления на списание сельскохозяйственной, мелиоративной и дорожно-строительной техники","Қишлоқ хўжалиги, мелиорация ва йўл-қурилиш техникаларини ҳисобдан чиқариш учун ариза юбориш","Что бы воспользоваться услугой списания сельскохозяйственной, мелиоративной и дорожно-строительной техники необходима таможенная декларация на груз и документ, подтверждающий согласие мужа или жены. После оплаты, заявление будет рассмотрено компетентным органом в течение шести рабочих дней. ","Qishloq xo‘jaligi, melioratsiya va yo‘l-qurilish texnikalarini hisobdan chiqarish xizmatidan foydalanish uchun bojxona yuk deklaratsiyasi va er yoki xotinning roziligini tasdiqlovchi hujjat talab qilinadi. Ariza yuborilib to‘lov qilingach, arizalar 6 ish kuni mobaynida vakolatli organ tomonidan ko‘rib chiqiladi."
20,846,https://my3.gov.uz/ru/service/846,https://my3.gov.uz/uz/service/846,https://my3.gov.uz/y3/service/846,"Временная регистрация сельскохозяйственной, мелиоративной и дорожно-строительной техники","Қишлоқ хўжалиги, мелиорация ва йўл-қурилиш техникаларини вақтинча рўйхатдан ўтказиш","Услуга Временная регистрация сельскохозяйственной, мелиоративной и дорожно-строительной техники требует документ, являющийся основанием для временной регистрации. Воспользоваться услугой могут физические и юридические лица. Заявки рассматриваются Инспекцией по контролю за агропромышленным комплексом при Министерстве сельского хозяйства в течение четырёх рабочих дней.","Qishloq xo‘jaligi, melioratsiya va yo‘l-qurilish texnikalarini vaqtincha ro‘yxatdan o‘tkazish xizmatidan foydalanish uchun, vaqtinchalik ro‘yxatga olish uchun asos bo‘lgan hujjat talab qilinadi. Xizmatdan jismoniy va yuridik shaxslar foydalanishlari mumkin. Arizalar Qishloq xo‘jaligi vazirligi huzuridagi Agrosanoat majmui ustidan nazorat qilish inspeksiyasi tomonidan 4 ish kuni mobaynida ko‘rib chiqiladi."
21,845,https://my3.gov.uz/ru/service/845,https://my3.gov.uz/uz/service/845,https://my3.gov.uz/y3/service/845,"Оцифровка архивных документов, книг и рукописей (получение электронной копии)","Архив ҳужжатлари, китоблар ва қўлёзмаларни рақамлаштириш (электрон нусха олиш)","Данная услуга предназначена для быстрой и удобной оцифровки архивных документов, книг и рукописей для физицеских лиц.","Mazkur xizmat arxiv hujjatlari, kitoblar va qo‘lyozmalarni jismoniy shaxslarga tez va oson raqamlashtirib olishga mo‘ljallangan."
22,842,https://my3.gov.uz/ru/service/842,https://my3.gov.uz/uz/service/842,https://my3.gov.uz/y3/service/842,"Государственная регистрация и перерегистрация сельскохозяйственной, мелиоративной и дорожно-строительной техники","Қишлоқ хўжалиги, мелиорация ва йўл-қурилиш техникаларини давлат рўйхатидан ва қайта рўйхатдан ўтказиш","С помощью данной услуги физические и юридические лица могут получить государственную регистрацию и перерегистрацию сельскохозяйственной, мелиоративной и дорожно-строительной техники. Заявки обрабатываются в течение четырёх рабочих дней.","Ushbu xizmat bilan jismoniy va yuridik shaxslarga qishloq xo‘jaligi, melioratsiya va yo‘l-qurilish texnikalarini davlat ro‘yxatidan va qayta ro‘yxatdan o‘tkazishlari mumkin. Arizalar 4 ish kuni mobaynida ko‘rib chiqiladi. "
23,841,https://my3.gov.uz/ru/service/841,https://my3.gov.uz/uz/service/841,https://my3.gov.uz/y3/service/841,Предоставление пакета геологической информации,Геологик маълумотлар тўпламини тақдим этиш,"Услуга, предназначенный для предоставления пакета геологической информации юридическим лицам.",Yuridik shaxslarga Geologik maʼlumotlar to‘plamini taqdim etish uchun mo‘ljallangan xizmat.
24,808,https://my3.gov.uz/ru/service/808,https://my3.gov.uz/uz/service/808,https://my3.gov.uz/y3/service/808,Получение информации о махаллинских активистах в регионе,Ҳудуддаги маҳалла фаоллари тўғрисида маълумот олиш,Сервис предназначен для предоставления пользователям быстрой и точной информации о махаллинских активистах в регионе.,Xizmat foydalanuvchilarga hududdagi mahalla faollari to‘g‘risida maʼlumotni tez va ortiqcha ovoragarchiliklarsiz olish uchun mo‘ljallangan.
25,807,https://my3.gov.uz/ru/service/807,https://my3.gov.uz/uz/service/807,https://my3.gov.uz/y3/service/807,Регистрация баз данных,Маълумотлар базаларини расмий рўйхатдан ўтказиш,,
26,806,https://my3.gov.uz/ru/service/806,https://my3.gov.uz/uz/service/806,https://my3.gov.uz/y3/service/806,Регистрация программы для ЭВM,ЭҲМ учун яратилган дастурни рўйхатдан ўтказиш,,
27,805,https://my3.gov.uz/ru/service/805,https://my3.gov.uz/uz/service/805,https://my3.gov.uz/y3/service/805,Регистрация изобретения,Ихтирони рўйхатидан ўтказиш,,
28,804,https://my3.gov.uz/ru/service/804,https://my3.gov.uz/uz/service/804,https://my3.gov.uz/y3/service/804,Регистрация географических указаний,Географик кўрсаткични рўйхатдан ўтказиш,,
29,803,https://my3.gov.uz/ru/service/803,https://my3.gov.uz/uz/service/803,https://my3.gov.uz/y3/service/803,Регистрация товарных знаков,Товар белгисини рўйхатидан ўтказиш,,
30,802,https://my3.gov.uz/ru/service/802,https://my3.gov.uz/uz/service/802,https://my3.gov.uz/y3/service/802,Предоставление индекса Универсальной десятичной классификации (УДК),Универсал ўнлик классификация (УЎК) индексини бериш,Услуга предназначена для предоставления индекса универсальной десятичной классификации. Национальная библиотека Узбекистана рассматривает заявки в течение пяти рабочих дней.,Ushbu xizmat universal o‘nlik klassifikatsiya indeksini berish uchun mo‘ljallangan. O‘zbekiston Milliy kutubxonasi arizalarni 5 ish kunida ko‘rib chiqadi.
31,801,https://my3.gov.uz/ru/service/801,https://my3.gov.uz/uz/service/801,https://my3.gov.uz/y3/service/801,"Кемпинги, действующие в летний сезон 2023 года, и их адреса",2023 йил ёз мавсумида фаолият юритадиган оромгоҳлар ва уларнинг манзиллари,"С помощью данной услуги можно быстро и легко узнать кемпинги, действующие в летний сезон 2023 года, и их адреса.",Bu xizmat bilan 2023 yil yoz mavsumida faoliyat yuritadigan oromgohlar va ularning manzillarini tez va oson bilib olish imkoni mavjud.
32,800,https://my3.gov.uz/ru/service/800,https://my3.gov.uz/uz/service/800,https://my3.gov.uz/y3/service/800,Информация аттестата об общем среднем образовании,Умумий ўрта таълим тўғрисида шаҳодатнома маълумоти,"Данная услуга предоставляет гражданам информацию об аттестате об общем среднем образовании, включая учебное заведение, дату выдачи, идентификационный номер аттестата и другую информацию. Сведения о справке могут быть необходимы для поступления в учебные заведения, трудоустройства, получения государственных пособий и других юридически значимых целей.","Ushbu xizmat fuqarolarga umumiy o‘rta taʼlim to‘g‘risida shahodatnoma maʼlumotlarni, shu jumladan ta’lim muassasasi, berilgan sana, attestatning identifikatsiya raqami va boshqa ma’lumotlarni taqdim etadi. Shahodatnoma ma'lumotlari taʼlim muassasalariga oʻqishga kirish, ishga joylashish, davlat imtiyozlarini olish va boshqa qonuniy ahamiyatga ega boʻlgan boshqa maqsadlarda zarur boʻlishi mumkin."
33,798,https://my3.gov.uz/ru/service/798,https://my3.gov.uz/uz/service/798,https://my3.gov.uz/y3/service/798,"Информация о лекарствах и предметах медицинского назначения, бесплатно предоставляемых государством в семейных медицинских пунктах, семейных поликлиниках и многопрофильных центральных поликлиниках","Оилавий шифокорлик пунктлари, оилавий поликлиникалар ва кўп тармоқли марказий поликлиникаларда давлат томонидан бепул бериладиган дори воситалари ва тиббиёт буюмлари тўғрисида маълумот","Граждане могут обратиться в семейные медицинские центры, семейные поликлиники или многопрофильные центральные поликлиники для бесплатного получения некоторых лекарств и изделий медицинского назначения. Данная услуга предоставляет гражданам возможность получить информацию об имеющихся в наличии лекарствах и товарах медицинского назначения.","Fuqarolar ba'zi bepul dori-darmon va tibbiy mahsulotlar olish uchun oilaviy tibbiyot markazlari, oilaviy poliklinikalar yoki ko‘p tarmoqli markaziy poliklinikalarga murojaat qilishlari mumkin. Mazkur xizmat fuqarolar bepul olishi mumkin bo‘lgan mavjud dori vositalari va tibbiyot buyumlari haqida ma’lumot olish imkoniyatini beradi."
34,797,https://my3.gov.uz/ru/service/797,https://my3.gov.uz/uz/service/797,https://my3.gov.uz/y3/service/797,Подача заявления на поступления в школу в первый класс,Болани мактабнинг биринчи синфига жойлаштиришга ариза юбориш,"Услуга создана для того, чтобы родители и опекуны без лишних хлопот могли подать заявления на поступления в школу в первый класс.",Xizmat ota-onalarga va ishonchli shaxslarga bolani ortiqcha ovoragarchiliklarsiz maktabning birinchi sinfiga joylashtirish uchun mo‘ljallangan. 
35,796,https://my3.gov.uz/ru/service/796,https://my3.gov.uz/uz/service/796,https://my3.gov.uz/y3/service/796,Подача заявления на редактирование информации о недвижимости,Кўчмас мулк маълумотларини таҳрирлаш учун ариза бериш,Информация о недвижимости неверна или ее следует удалить? Для этого предназначена услуга подача заявления на редактирование информации о недвижимости.,Ko‘chmas mulk maʼlumotlari xato yoki maʼlumotlarni o‘chirish kerakmi? Ko‘chmas mulk maʼlumotlarini tahrirlash uchun ariza berish xizmati bilan amalga oshirish imkoni mavjud. 
36,795,https://my3.gov.uz/ru/service/795,https://my3.gov.uz/uz/service/795,https://my3.gov.uz/y3/service/795,Предоставление индекса Библиотечно-библиографической классификации (ББК),Кутубхона-библиографик классификация (КБК) индексини бериш,"Воспользовавшись данной услугой, вы можете получить индекса библиотечно-библиографический классификации без лишних документов.",Mazkur xizmat yordamida ortiqcha hujjatlarsiz kutubxona-bibliografik klassifikatsiya indeksini olishingiz mumkin.
37,762,https://my3.gov.uz/ru/service/762,https://my3.gov.uz/uz/service/762,https://my3.gov.uz/y3/service/762,Присвоение международного стандартного сериального номера (ISSN),Даврий нашрларга халқаро стандарт (ISSN) рақамини бериш,С помощью данной услуги можно присвоит международный стандартный серийный номер. Заявки обрабатываются в течение 5 рабочих дней.,Joriy xizmat yordami bilan davriy nashrlarga xalqaro standart raqamini olish mumkin. Arizalar 5 ish kuni davomida ko‘rib chiqiladi.
38,761,https://my3.gov.uz/ru/service/761,https://my3.gov.uz/uz/service/761,https://my3.gov.uz/y3/service/761,Получение справки с места учебы (из академического лицея и профессиональных учебных заведений),Ўқиш жойидан маълумотнома олиш (академик лицей ва профессионал таълим муассасаларидан),Учащиеся академических лицеев и профессиональных учебных заведений имеют возможность получить справку с места учёбы с помощью данной услуги.,"Akademik litsey va professional taʼlim muassasalari o‘quvchilari, xizmatdan foydalangan holda o‘qish joyidan maʼlumotnoma olish imkoniyatiga ega. "
39,760,https://my3.gov.uz/ru/service/760,https://my3.gov.uz/uz/service/760,https://my3.gov.uz/y3/service/760,Подключение к сети интернет UZTELECOM,UZTELECOM интернет тармоғига уланиш,"Оставьте заявку на подключение к интернет сетм УЗТЕЛЕКОМ, не выходя из дома. Заявки рассматриваются в течение 10 рабочих дней.",Uydan chiqmagan holda UZTELECOM internet tarmog‘iga ulanish uchun ariza yuboring. Arizalar 10 ish kuni mobaynida ko‘rib chiqiladi.
40,759,https://my3.gov.uz/ru/service/759,https://my3.gov.uz/uz/service/759,https://my3.gov.uz/y3/service/759,Предоставление международного стандартного книжного номера (ISBN),Китобнинг халқаро стандарт рақамини (ISBN) бериш,,
41,758,https://my3.gov.uz/ru/service/758,https://my3.gov.uz/uz/service/758,https://my3.gov.uz/y3/service/758,Информация о проведенных поверках счетчиков коммунальных услуг,Коммунал ҳисоблагичларни қиёслашдан ўтказилганлиги тўғрисида маълумот,С помощью этой услуги можно получить онлайн информацию о проведенных поверках счетчиков коммунальных услуг. Услуга абсолютно бесплатна. Справка выдается автоматически.,Mazkur xizmat bilan kommunal hisoblagichlarni qiyoslashdan o‘tkazilganligi to‘g‘risida maʼlumotnomani onlayn olish imkoni mavjud. Xizmat mutlaqo bepul. Maʼlumotnoma avtomatik tarzda beriladi. 
42,757,https://my3.gov.uz/ru/service/757,https://my3.gov.uz/uz/service/757,https://my3.gov.uz/y3/service/757,Информация о референт ценах лекарственных средств,Дори воситаларининг референт нархи тўғрисида маълумот олиш,Информацию о референт ценах лекарственных средств можно получить онлайн с помощью данной услиги. ,Xizmatdan foydalanib dori vositalarining referent narxi to‘g‘risida maʼlumotni onlayn olish mumkin.
43,756,https://my3.gov.uz/ru/service/756,https://my3.gov.uz/uz/service/756,https://my3.gov.uz/y3/service/756,Информация о пустующих государственных объектах,Бўш турган давлат объектлари тўғрисида маълумот,Данная улсуга помогает получить информацию о свободных государственных объектах в режиме онлайн. Услуга абсолютно бесплатна.,Bu xizmat bo‘sh turgan davlat obyektlari to‘g‘risida maʼlumotnomani onlayn olishda yordam beradi. Xizmat mutlaqo bepul.
44,755,https://my3.gov.uz/ru/service/755,https://my3.gov.uz/uz/service/755,https://my3.gov.uz/y3/service/755,Проверка наличия задолженности от управляющих сервисных компаний (Мой Дом),Бошқарув сервис компанияларидан қарздорлик ҳолатини текшириш (Менинг уйим),Услуга позволяет пользователям проверить наличия задолженности от управляющих сервисных компаний.,Mazkur xizmat foydalanuvchilarga boshqaruv servis kompaniyalaridan qarzdorlik holatini tekshirish imkonini beradi.
45,754,https://my3.gov.uz/ru/service/754,https://my3.gov.uz/uz/service/754,https://my3.gov.uz/y3/service/754,"Ознакомление с данными о враче семейной поликлиники, закрепленным за гражданином",Фуқарога бириктирилган оилавий шифохона шифокори тўғрисидаги маълумотлар билан танишиш,"Услуга предназначена для ознакомление с данными о враче семейной поликлиники, закрепленным за гражданином. Если не найдено никакой информация о вашем прикреплении к семейной поликлинике или врачу. Для уточнения или прикрепления вы можете обратиться в обслуживающую вас государственную семейную поликлинику.",Fuqaroga biriktirilgan oilaviy shifoxona shifokori to‘g‘risidagi maʼlumotlar bilan tanishish uchun mo‘ljallangan. Oilaviy shifoxonaga yoki shifokorga biriktirilganligingiz haqida maʼlumot topilmasa. Aniqlashtirish yoki biriktirilish uchun fuqaro o‘ziga xizmat ko‘rsatadigan davlat oilaviy poliklinikasiga murojaat qilishi mumkin.
46,753,https://my3.gov.uz/ru/service/753,https://my3.gov.uz/uz/service/753,https://my3.gov.uz/y3/service/753,Информация об оплате услуг за детский сад,Мактабгача таълим ташкилоти учун амалга оширилган тўловлар тўғрисида маълумот,В данной услуге родители могут получить информацию об оплате услуг за детский сад. Справка выдается автоматически. ,Mazkur xizmatda ota-onalar maktabgacha taʼlim tashkiloti uchun amalga oshirilgan to‘lovlar to‘g‘risida maʼlumotnoma olishlari mumkin. Maʼlumotnoma avtomatik tarzda amalga oshiriladi.
47,752,https://my3.gov.uz/ru/service/752,https://my3.gov.uz/uz/service/752,https://my3.gov.uz/y3/service/752,Ознакомление с сертификатами юридических лиц,Юридик шахсларнинг сертификатлари ҳақида маълумот,Услуга предназначена для ознакомление с сертификатами юридических лиц.,Xizmat yuridik shaxslarning sertifikatlari haqida maʼlumot olishga mo‘ljallangan.
